total_costs,Node similarity to best solution,Edge similarity to best solution,Average Node similarity to all other local optima,Average Edge similarity to all other local optima
54630.0,81,30,80.62062062062063,23.33133133133133
54476.0,79,30,79.09309309309309,25.46246246246246
58441.0,88,27,83.13013013013013,20.71271271271271
50282.0,83,36,82.27127127127127,29.926926926926928
54605.0,88,28,83.03003003003003,25.906906906906908
50002.0,85,44,83.31531531531532,29.56156156156156
52057.0,84,31,81.78278278278279,28.5005005005005
54431.0,84,31,83.10610610610611,25.26926926926927
51784.0,84,28,83.88688688688688,26.804804804804803
56227.0,85,35,82.94194194194195,24.093093093093092
48304.0,85,37,84.50150150150151,32.01901901901902
53388.0,86,30,82.82682682682683,24.81181181181181
54603.0,85,35,82.3943943943944,23.863863863863862
52510.0,86,38,82.62362362362363,28.51751751751752
54252.0,82,26,81.98698698698699,25.55155155155155
50987.0,82,27,81.88088088088088,28.915915915915917
50888.0,84,33,82.87187187187187,27.15015015015015
51326.0,83,41,81.45045045045045,28.55855855855856
51597.0,86,39,83.12412412412412,29.47147147147147
52708.0,83,25,82.74274274274275,25.363363363363362
53106.0,91,36,84.4074074074074,26.374374374374373
53415.0,84,34,84.62962962962963,27.047047047047048
53394.0,86,33,85.05105105105105,27.87187187187187
51484.0,81,28,81.7947947947948,28.68868868868869
50002.0,85,39,84.35135135135135,30.53853853853854
49777.0,84,30,83.26526526526527,28.565565565565567
53163.0,86,26,83.995995995996,26.13213213213213
49590.0,84,42,81.08108108108108,30.03903903903904
50242.0,81,36,81.15115115115115,29.46746746746747
50535.0,85,45,84.69969969969969,31.36036036036036
52841.0,83,31,83.89789789789789,25.95895895895896
51856.0,88,38,84.58358358358359,29.6026026026026
52306.0,85,36,83.31731731731732,28.92092092092092
51650.0,89,34,82.998998998999,29.007007007007008
55195.0,88,32,84.56556556556556,25.98198198198198
53107.0,86,36,82.08408408408408,26.403403403403402
54607.0,85,23,84.24424424424424,23.34834834834835
52589.0,83,34,83.12112112112112,27.21021021021021
50429.0,84,35,82.97797797797797,28.35135135135135
53824.0,85,31,83.06706706706707,25.095095095095097
50941.0,80,28,82.28328328328328,27.16116116116116
50926.0,83,34,83.90590590590591,28.904904904904903
54593.0,82,24,84.45145145145145,23.14114114114114
52146.0,78,28,80.91391391391392,27.826826826826828
52773.0,85,35,82.81781781781781,24.167167167167168
51153.0,80,34,80.16616616616616,27.16116116116116
54060.0,84,25,83.77777777777777,24.1991991991992
50866.0,88,41,83.37637637637637,29.33833833833834
51258.0,84,33,82.65165165165165,27.52052052052052
51282.0,85,40,84.29029029029029,30.36136136136136
50189.0,83,30,82.87487487487488,28.645645645645647
52438.0,82,35,82.30030030030031,27.792792792792792
53999.0,80,28,82.45745745745745,27.37837837837838
55580.0,81,28,78.93793793793793,21.68168168168168
55028.0,87,34,83.08608608608608,24.733733733733732
53362.0,81,26,81.33033033033033,24.47947947947948
50028.0,84,41,81.98398398398399,29.782782782782782
52080.0,83,35,82.56856856856857,28.406406406406408
52406.0,86,37,83.73073073073073,28.31131131131131
49475.0,87,38,83.8108108108108,29.12012012012012
50636.0,84,33,81.94294294294295,29.344344344344343
50887.0,88,38,83.90090090090091,28.756756756756758
51544.0,85,28,84.76576576576576,27.19019019019019
49930.0,86,37,84.14414414414415,30.666666666666668
54260.0,77,25,79.17717717717717,23.784784784784783
49771.0,82,35,81.89289289289289,31.335335335335337
50445.0,86,44,84.18118118118119,29.87887887887888
51655.0,84,32,83.8028028028028,26.814814814814813
52249.0,81,33,82.67367367367368,27.11011011011011
47121.0,85,52,84.16016016016016,35.9039039039039
