total_costs,Node similarity to best solution,Edge similarity to best solution,Average Node similarity to all other local optima,Average Edge similarity to all other local optima
89340.0,86,21,87.31631631631632,16.62862862862863
86630.0,89,22,89.27827827827828,17.153153153153152
78591.0,88,34,87.005005005005,22.78078078078078
81644.0,92,32,88.994994994995,20.78178178178178
84898.0,89,26,88.22622622622623,18.59259259259259
85042.0,88,23,89.67967967967968,19.025025025025027
82641.0,91,32,88.94294294294295,20.64064064064064
84010.0,90,28,87.51051051051051,20.49149149149149
86297.0,90,22,88.63463463463464,16.976976976976978
78915.0,92,32,87.54654654654655,20.913913913913913
82959.0,89,28,88.65465465465465,19.58058058058058
81067.0,88,27,88.09709709709709,20.32232232232232
80963.0,89,34,87.90790790790791,22.13113113113113
87286.0,91,19,87.48348348348348,16.74774774774775
84668.0,92,30,88.10410410410411,18.34134134134134
83999.0,87,25,87.23223223223223,19.074074074074073
84563.0,89,25,88.70570570570571,19.964964964964963
84211.0,93,33,87.51251251251252,19.38838838838839
77770.0,91,40,89.11611611611612,24.51751751751752
84442.0,86,26,85.72272272272272,18.35035035035035
85196.0,90,22,87.87787787787788,18.376376376376378
81524.0,92,35,89.54454454454455,21.993993993993993
81550.0,87,28,87.67667667667668,20.815815815815817
81816.0,91,22,87.95395395395396,19.99099099099099
85183.0,88,28,87.2042042042042,19.054054054054053
82941.0,87,30,87.95695695695696,20.75875875875876
85385.0,89,25,86.992992992993,17.34834834834835
82167.0,89,27,87.74674674674675,20.77177177177177
83817.0,86,28,86.81381381381381,18.862862862862862
86607.0,85,26,86.38238238238239,19.285285285285287
75959.0,85,33,85.91391391391392,24.375375375375377
82074.0,94,32,88.35135135135135,19.97197197197197
81915.0,91,26,87.77677677677677,19.873873873873872
88758.0,89,22,85.92192192192192,15.497497497497497
83075.0,90,26,87.57057057057057,19.983983983983983
82626.0,88,24,87.26526526526527,19.55255255255255
82197.0,90,31,87.57057057057057,20.14014014014014
86635.0,91,27,89.01901901901901,18.54054054054054
79522.0,88,35,87.47447447447448,22.97097097097097
85768.0,86,22,88.25225225225225,17.974974974974973
79959.0,90,28,87.05705705705705,21.356356356356358
89492.0,90,20,87.74074074074075,16.37137137137137
83823.0,89,25,89.21321321321321,19.05005005005005
83444.0,89,21,87.52552552552552,17.886886886886888
86818.0,89,25,88.32232232232232,18.98098098098098
84795.0,91,32,87.74874874874875,18.86986986986987
92031.0,89,16,87.78378378378379,15.78078078078078
83841.0,91,31,86.75675675675676,18.70870870870871
87047.0,88,27,89.29329329329329,18.53053053053053
80006.0,87,32,86.77277277277277,20.835835835835837
86205.0,91,21,88.15815815815816,17.123123123123122
84783.0,87,23,87.85385385385385,18.93993993993994
80286.0,90,34,88.6076076076076,21.594594594594593
89775.0,92,25,87.28428428428428,15.342342342342342
79715.0,88,33,88.01701701701701,22.52152152152152
81949.0,89,28,87.98798798798799,20.39139139139139
78116.0,89,27,87.31831831831832,22.786786786786788
86067.0,90,23,88.36636636636636,18.434434434434433
83145.0,90,27,88.52552552552552,19.69169169169169
86301.0,91,21,87.87287287287288,17.215215215215217
84596.0,90,28,88.76876876876877,19.90990990990991
84469.0,90,28,87.43743743743744,19.013013013013012
83571.0,87,25,86.008008008008,19.255255255255257
87553.0,88,28,87.31931931931932,18.176176176176178
91493.0,89,23,87.92692692692692,15.555555555555555
84651.0,90,31,89.75775775775776,20.25925925925926
87477.0,91,31,89.02002002002003,17.55055055055055
79892.0,90,28,89.36036036036036,21.56856856856857
84390.0,89,28,87.76176176176176,19.26226226226226
79457.0,90,30,87.8108108108108,22.23223223223223
87548.0,86,19,86.56356356356356,18.273273273273272
86442.0,85,24,85.93193193193193,17.224224224224223
78112.0,92,37,87.82582582582583,22.97197197197197
84488.0,88,24,87.82782782782783,18.66266266266266
87832.0,90,12,88.22722722722723,15.642642642642643
79499.0,89,36,88.64564564564564,22.064064064064063
83960.0,87,22,87.43943943943944,19.882882882882882
84906.0,90,25,86.48148148148148,18.98198198198198
84335.0,89,25,87.43543543543544,18.96996996996997
84917.0,87,28,87.88788788788789,20.21221221221221
82427.0,88,27,88.69969969969969,20.74774774774775
82176.0,88,28,87.2092092092092,19.546546546546548
82883.0,92,26,89.32832832832833,19.18218218218218
83060.0,90,24,86.77977977977977,18.493493493493492
86310.0,89,26,89.89789789789789,19.03803803803804
84437.0,88,20,87.57057057057057,17.993993993993993
86000.0,86,31,84.46746746746747,19.586586586586588
81047.0,90,33,88.0,21.56056056056056
82089.0,91,26,87.8078078078078,19.87787787787788
88049.0,88,19,89.13613613613613,17.45745745745746
82833.0,88,27,88.78378378378379,20.38738738738739
89254.0,86,15,86.96996996996997,15.93093093093093
82413.0,91,28,87.51551551551552,20.436436436436438
85820.0,93,26,88.63063063063063,17.47247247247247
83412.0,89,27,87.94294294294295,18.535535535535537
85025.0,89,23,87.64864864864865,18.05905905905906
85260.0,91,31,87.74074074074075,18.67867867867868
85438.0,91,23,88.03803803803804,18.455455455455457
85724.0,88,23,87.54654654654655,18.41941941941942
83198.0,90,24,90.01301301301301,20.31031031031031
79420.0,89,28,87.63463463463464,21.78078078078078
84876.0,87,26,88.4104104104104,19.295295295295297
81033.0,88,34,87.26426426426427,20.53253253253253
83819.0,88,24,88.14614614614615,19.434434434434433
86826.0,91,26,88.25725725725725,18.28128128128128
85711.0,89,25,87.4094094094094,18.254254254254253
86022.0,93,26,88.49449449449449,18.42942942942943
84837.0,90,26,87.48548548548548,18.113113113113112
82244.0,91,33,89.48148148148148,21.54954954954955
83217.0,89,28,87.69669669669669,19.2002002002002
84558.0,88,32,85.01201201201201,19.103103103103102
84103.0,87,25,87.23123123123123,19.256256256256258
85512.0,91,24,87.69169169169169,17.814814814814813
83627.0,88,31,88.35535535535536,20.096096096096097
85961.0,88,23,87.29029029029029,16.734734734734733
87283.0,90,28,87.18618618618619,16.28728728728729
84410.0,89,25,88.23623623623624,19.01001001001001
86978.0,87,24,87.01701701701701,16.913913913913913
82020.0,90,28,88.56656656656656,21.48048048048048
80450.0,89,37,87.61561561561561,22.04004004004004
80396.0,87,32,87.27527527527528,20.246246246246248
85613.0,86,22,86.16216216216216,18.55155155155155
83556.0,90,30,88.02302302302303,19.72072072072072
82952.0,87,22,87.73773773773773,19.53753753753754
82160.0,91,32,87.86986986986987,20.998998998999
80056.0,91,35,87.61361361361361,21.964964964964963
82058.0,88,28,86.7947947947948,22.25825825825826
82233.0,88,25,86.25725725725725,19.68868868868869
85650.0,85,21,86.7907907907908,18.326326326326328
78689.0,87,26,88.12512512512512,21.71071071071071
85786.0,91,36,87.67167167167167,20.37037037037037
90068.0,85,19,86.68268268268268,16.3003003003003
81920.0,90,28,86.03103103103103,19.86886886886887
91102.0,91,21,87.61461461461461,14.998998998999
81940.0,91,28,87.18318318318319,20.514514514514513
80327.0,89,30,87.90190190190191,20.78178178178178
82924.0,93,24,88.72572572572572,19.05005005005005
82856.0,88,20,86.70070070070071,19.80780780780781
80344.0,89,25,89.02902902902903,21.74074074074074
81535.0,89,28,88.3893893893894,20.56056056056056
78602.0,90,32,87.94694694694695,22.82182182182182
80925.0,88,28,88.7927927927928,20.50750750750751
80000.0,91,39,87.98598598598599,21.42942942942943
82272.0,88,21,87.83083083083083,19.25225225225225
85810.0,90,28,87.47547547547548,18.177177177177178
84907.0,84,24,85.82382382382383,18.103103103103102
88991.0,93,27,86.31631631631632,17.3973973973974
83384.0,89,33,87.24224224224224,19.744744744744743
82274.0,88,23,87.25425425425425,19.1011011011011
89017.0,88,24,87.22822822822823,16.776776776776778
80102.0,86,34,86.46146146146147,20.994994994994993
80204.0,86,33,85.34334334334335,21.526526526526528
83833.0,88,28,87.86486486486487,20.75275275275275
84220.0,90,26,88.44844844844845,19.043043043043042
79752.0,90,36,88.13913913913913,22.25225225225225
83909.0,88,26,87.90890890890891,20.436436436436438
81582.0,90,35,88.18818818818819,21.22922922922923
82630.0,90,27,89.10710710710711,20.70770770770771
82601.0,86,23,86.15815815815816,19.566566566566568
87736.0,88,23,87.1981981981982,16.93993993993994
83844.0,90,28,86.70370370370371,19.03203203203203
84444.0,85,27,86.08808808808809,18.53753753753754
78968.0,89,31,86.61661661661661,22.035035035035037
82828.0,87,34,88.22522522522523,21.43843843843844
86361.0,87,25,87.6056056056056,18.3983983983984
80488.0,89,35,88.81781781781781,21.38238238238238
83753.0,86,25,86.5915915915916,19.34034034034034
88441.0,89,23,87.50650650650651,16.33833833833834
82513.0,87,28,87.26026026026027,20.32132132132132
78935.0,89,31,88.04304304304304,23.3993993993994
85237.0,88,19,87.5925925925926,18.225225225225227
83773.0,87,27,87.84484484484484,19.234234234234233
83220.0,91,32,88.46046046046047,20.764764764764763
77520.0,87,34,86.83483483483484,24.3013013013013
81790.0,87,27,86.67267267267268,19.996996996996998
87338.0,91,26,88.01701701701701,17.60960960960961
85451.0,88,24,86.88988988988989,16.983983983983983
79481.0,91,37,87.53453453453453,22.02102102102102
81696.0,89,24,88.22422422422423,19.48048048048048
81724.0,85,34,85.45245245245245,21.33733733733734
82569.0,87,30,87.76376376376376,19.992992992992992
84393.0,89,30,88.84184184184184,20.11811811811812
77565.0,88,30,89.50350350350351,23.932932932932932
81047.0,92,30,89.32932932932933,20.734734734734733
79631.0,87,34,87.76276276276276,22.644644644644643
84577.0,85,21,86.92192192192192,17.463463463463462
81391.0,88,26,87.86786786786787,20.873873873873872
83978.0,88,37,86.29829829829829,20.046046046046047
82408.0,88,32,87.03403403403404,20.77977977977978
87603.0,88,15,87.92992992992993,17.97897897897898
89532.0,87,19,87.25725725725725,16.84084084084084
85966.0,91,24,87.8038038038038,17.99099099099099
83255.0,89,24,87.09909909909909,18.556556556556558
82299.0,90,26,89.26426426426427,19.976976976976978
83072.0,87,25,88.51951951951952,19.89189189189189
82354.0,86,17,88.27527527527528,20.164164164164163
81255.0,91,32,87.3983983983984,21.24724724724725
